Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10
Thoái hóa khớp,lạo xạo trong khớp,đau khớp,yếu cơ,đỏ xung quanh khớp,cứng khớp,sưng tấy,mệt mỏi,đau dai dẳng,giảm khả năng vận động,
Cường giáp,rụng tóc,nhịp tim nhanh,run tay,đau ngực,khó ngủ,mệt mỏi,,,,
Bệnh thận mãn tính,khó thở,huyết áp cao,sưng chân,buồn nôn,chuột rút cơ,,,,,
Ung thư nội mạc tử cung,đau lưng,tiểu thường xuyên,đau khi quan hệ,mệt mỏi,ra máu âm đạo bất thường,khó tiêu,sút cân,đau bụng dưới,vàng da,
Xơ nang,da có vị mặn,nhiễm trùng phổi thường xuyên,tăng trưởng kém,khó thở,khó tăng cân,móng tay hoặc móng chân sưng,ho ra đờm đặc,,,
Ung thư buồng trứng,sút cân không rõ lý do,chướng bụng,đau lưng,đau khi quan hệ,chảy máu âm đạo bất thường,buồn nôn,mệt mỏi,tiểu nhiều hoặc tiểu khó,đau bụng,khó tiêu
Thoái hóa khớp,giảm khả năng vận động,đỏ xung quanh khớp,cứng khớp,đau buổi sáng,đau khớp,mệt mỏi,,,,
Hội chứng ruột kích thích (IBS),chán ăn,đau bụng,tiêu chảy,đầy hơi,khó tiêu,mệt mỏi,,,,
Lymphoma,chán ăn,ra mồ hôi đêm,hạch bạch huyết sưng,sốt,ngứa,đau bụng,mệt mỏi,nhiễm trùng thường xuyên,rùng mình,giảm cân không rõ lý do
Dại,mất ngủ,khó nuốt,co giật,sốt,mơ hồ,,,,,
Bệnh Parkinson,mất thăng bằng,thay đổi giọng nói,chậm vận động,đi bộ lê từng bước,cứng cơ,cúi người,chuột rút cơ,khó đi lại,vấn đề cân bằng,
Bệnh Celiac,sang thương da,tiêu chảy,thường xuyên cảm giác ốm yếu,đầy hơi,khó tiêu,mệt mỏi,đau bụng,,,
Tăng huyết áp,đau ngực,chảy máu cam,mơ hồ,khó thở,nhịp tim không đều,mệt mỏi,chóng mặt,,,
Virus Zika,viêm kết mạc,phát ban,mệt mỏi,đau đầu,buồn nôn,,,,,
Dại,mất ngủ,kích động,bị liệt,đau đầu,chảy nước dãi quá mức,ảo giác,mơ hồ,sốt,co giật,khó nuốt
Ung thư,giảm cân không rõ lý do,thay đổi thói quen đại tiện hoặc tiểu tiện,thay đổi da,mệt mỏi,cục u,đau,,,,
Rối loạn hoảng sợ,mồ hôi vã ra,buồn nôn,cảm giác tê liệt,run rẩy,rối loạn nhịp tim,đau ngực,cảm giác choáng váng,khó thở,,
Eczema,chàm,da bị nứt nẻ,dễ bị kích ứng,ngứa da,đau da,khô da,mẩn đỏ,khó chịu,vảy da,
Sarcoidosis,phát ban,đau ngực,ho khan,phù,khó thở,mệt mỏi,đau khớp,sút cân,đau bụng,sốt
Sarcoidosis,ho khan,sốt,đau ngực,đau bụng,khó thở,phát ban,đau khớp,sút cân,mệt mỏi,
Sốt thấp khớp,buồn nôn,đau cơ,chóng mặt,sốt,mệt mỏi,viêm tim,đau khớp,khó thở,viêm họng,
Bệnh cơ xơ hóa,tăng huyết áp,hạn chế tầm vận động,cứng cơ,mất cân bằng điện giải,khó thở,đau khớp,mệt mỏi,ho khan,đau cơ,suy giảm khả năng di chuyển
Ung thư bàng quang,đau khi tiểu,tiểu ra máu,đau xương chậu,đau lưng dưới,khó tiểu,đi tiểu thường xuyên,,,,
Thiếu máu hồng cầu hình liềm,da nhợt nhạt,chóng mặt,vàng da,đau xương khớp,sút cân,buồn nôn,mệt mỏi,đau bụng,khó thở,
Thoát vị,khó thở,đau khi di chuyển,cảm giác nặng nề,cảm giác căng tức,tăng áp lực bụng,,,,,
Chân vận động viên,vảy da,da đỏ,ngứa giữa các ngón chân,đau khi đi,da bong tróc,sưng và đỏ lòng bàn chân,châm chích,vết nứt da,mùi hôi chân,sưng tấy
Chấy,gàu,sử dụng lược chấy,ngứa da đầu,cảm giác châm chích,lây lan sang người khác,tóc rụng,viêm da đầu,sưng đỏ da đầu,rối loạn tóc,
Viêm phổi,mệt mỏi,đau ngực,khó thở,buồn nôn,sốt,nôn,rùng mình,mơ hồ,môi hoặc ngón tay màu xanh,ho
Loét dạ dày tá tràng,chán ăn,nôn mửa,buồn nôn,cảm giác nóng rát,chảy máu dạ dày,đau bụng,,,,
Thiếu máu hồng cầu hình liềm,mệt mỏi,sút cân,khó thở,da nhợt nhạt,vàng da,đau bụng,đau ngực,buồn nôn,đau xương khớp,
Chân vận động viên,vảy da,sưng tấy,da đỏ,da bong tróc,mùi hôi chân,sưng và đỏ lòng bàn chân,,,,
Loét dạ dày tá tràng,cảm giác nóng rát,tiêu chảy,nôn mửa,đầy hơi,buồn nôn,khó tiêu,,,,
Cường giáp,mệt mỏi,rụng tóc,nhịp tim nhanh,kích động,sụt cân,,,,,
Táo bón,mất cảm giác thèm ăn,đầy hơi,cảm giác nặng nề,đầy bụng,mệt mỏi,khó đi tiêu,đau bụng,sút cân,,
Bệnh lao,ho ra máu,ra mồ hôi ban đêm,đau ngực,chán ăn,giảm cân,sốt,,,,
Ung thư,mệt mỏi,thay đổi da,ho kéo dài,đau,giảm cân không rõ lý do,,,,,
Lymphoma,ra mồ hôi đêm,nhiễm trùng thường xuyên,rùng mình,sốt,giảm cân không rõ lý do,đau bụng,mệt mỏi,,,
Lupus ban đỏ hệ thống,mệt mỏi,viêm màng phổi,sốt,rụng tóc,khó thở,,,,,
Sản giật,co giật,đau bụng,sưng tay chân,mệt mỏi,đau đầu,thở nhanh,khó thở,huyết áp cao,mất ý thức,nôn mửa
Mumps,mệt mỏi,đau đầu,nuốt đau,sưng tinh hoàn,sốt,sưng tuyến nước bọt,chán ăn,đau họng,đau nhức,đau cơ
Lupus,chán ăn,đau ngực,viêm phổi,sốt,phát ban mặt,sút cân,cảm giác lạnh,,,
Bệnh lao,sốt,ra mồ hôi ban đêm,khó thở,giảm cân,mệt mỏi,ho ra máu,đau ngực,hạch bạch huyết sưng,ho dai dẳng,chán ăn
Rối loạn hoảng sợ,mồ hôi vã ra,cảm giác tê liệt,đau ngực,khó thở,rối loạn nhịp tim,đột ngột cảm giác sợ hãi,,,,
Hội chứng Guillain-Barré,đau lưng,yếu cơ,mất cảm giác ở tay và chân,tê tay chân,đau cơ,cảm giác kim châm trên da,,,,
Ung thư nội mạc tử cung,khó tiêu,tiểu thường xuyên,vàng da,đau xương chậu,ra máu âm đạo bất thường,đau lưng,mệt mỏi,sút cân,đau khi quan hệ,
Vô sinh,cảm giác trầm cảm,rối loạn kinh nguyệt,đau khi quan hệ,tăng cân,khó thụ thai,sút cân,đau bụng,rối loạn nội tiết,,
Virus Zika,sốt,phát ban,sưng khớp,đau bụng,đau cơ,đau khớp,đau đầu,viêm kết mạc,mệt mỏi,buồn nôn
Sarcoidosis,đau ngực,đau khớp,phù,sút cân,đau bụng,khó thở,,,,
Ung thư cổ tử cung,đau lưng,mệt mỏi,tiểu đau,tiêu chảy,tiết dịch âm đạo bất thường,sưng chân,chảy máu âm đạo bất thường,đau vùng chậu,,
Ung thư tinh hoàn,buồn nôn,đau khi quan hệ,mệt mỏi,đau hoặc cảm giác nặng nề ở tinh hoàn,đau bụng dưới,khối u ở tinh hoàn,thay đổi hình dáng tinh hoàn,khó thở,,
Thiếu máu hồng cầu hình liềm,chóng mặt,khó thở,đau ngực,da nhợt nhạt,đau bụng,mệt mỏi,sút cân,buồn nôn,vàng da,
Bệnh phổi tắc nghẽn mãn tính (COPD),mệt mỏi,khò khè,ho có đờm,khó thở,tiếng thở có âm thanh,khó thở khi gắng sức,ho kéo dài,sút cân,thở nhanh,đau ngực
Suy giáp,chậm nhịp tim,da khô,phù mặt,khó chịu với lạnh,mệt mỏi,trầm cảm,giọng khàn,tăng cân,rụng tóc,
Bệnh bạch cầu,đau xương,da tái nhợt,đau bụng,hạch bạch huyết sưng,sốt,nhiễm trùng thường xuyên,,,,
Lupus,viêm phổi,đau khớp,sốt,đau ngực,cảm giác lạnh,mệt mỏi,mất tóc,,,
Viêm bàng quang,đau bụng dưới,cảm giác buồn tiểu liên tục,buồn nôn,nước tiểu có mùi khó chịu,tiểu nhiều lần,sốt,nước tiểu đục,tiểu đau,,
Bệnh lao,ra mồ hôi ban đêm,mệt mỏi,khó thở,chán ăn,ho ra máu,,,,,
Bệnh phong,yếu cơ,tổn thương da,sưng,da đổi màu,tắc nghẽn mũi,mất cảm giác,,,,
Ung thư,giảm cân không rõ lý do,khó thở,thay đổi thói quen đại tiện hoặc tiểu tiện,ho kéo dài,cục u,khó nuốt,,,,
Xơ vữa động mạch,chuột rút cơ,tê,mệt mỏi,yếu cơ,cảm giác ngứa,rối loạn trí nhớ,chóng mặt,khó đi lại,mờ mắt,
Táo bón,cảm giác nặng nề,đầy hơi,đau bụng,sút cân,cảm giác không thể đi vệ sinh hết,mệt mỏi,,,,
Xơ gan,buồn nôn,tinh thần lú lẫn,bụng sưng to,mệt mỏi,ngứa,giảm cơ,sút cân,vàng da,xuất huyết,mạch máu nổi rõ trên da
Chán ăn,chóng mặt,khó ngủ,mất cảm giác thèm ăn,suy nhược cơ thể,giảm cân nhanh,,,,,
Viêm màng não,đau cơ,đau đầu dữ dội,sốt cao,co giật,mệt mỏi,buồn nôn,,,,
Ung thư tuyến tiền liệt,mệt mỏi,tiểu khó,máu trong nước tiểu,sút cân nhanh,đau khi đi tiểu,đau vùng lưng dưới,"đi tiểu thường xuyên, đặc biệt vào ban đêm",đau vùng xương chậu,buồn nôn,rối loạn cương dương
Rối loạn phổ tự kỷ (ASD),khó duy trì các mối quan hệ,vấn đề với tương tác xã hội,hành vi lặp lại,không hiểu cảm xúc người khác,lặp lại hành động hoặc lời nói,khó khăn trong giao tiếp xã hội,không thích sự thay đổi,mất tập trung,,
Viêm gan,vàng da,đau khớp,chán ăn,mệt mỏi,buồn nôn,đau cơ,sốt,đau bụng,nước tiểu sẫm màu,phân nhạt màu
Xơ nang,khó thở,ho mãn tính,nhiễm trùng phổi thường xuyên,móng tay hoặc móng chân sưng,nhiễm trùng xoang thường xuyên,khó tăng cân,da có vị mặn,vấn đề tiêu hóa,,
Chlamydia,mệt mỏi,tiểu buốt,sốt,vùng kín sưng,ngứa,đau bụng dưới,đau khi đi tiểu,đau khi quan hệ,,
Viêm bàng quang,tiểu nhiều lần,ớn lạnh,sốt,cảm giác buồn tiểu liên tục,nước tiểu đục,nước tiểu có mùi khó chịu,đau bụng dưới,tiểu đau,,
Loét dạ dày tá tràng,đầy hơi,khó tiêu,chán ăn,chảy máu dạ dày,buồn nôn,sút cân,cảm giác nóng rát,nôn mửa,tiêu chảy,
Chân vận động viên,ngứa giữa các ngón chân,sưng và đỏ lòng bàn chân,vảy da,da bong tróc,đau khi đi,da đỏ,vết nứt da,châm chích,sưng tấy,mùi hôi chân
Lo âu,mệt mỏi,đau đầu,khó ngủ,lo lắng thái quá,hồi hộp,rối loạn tiêu hóa,khó thở,cảm giác bất an,đau ngực,
Lymphoma,nhiễm trùng thường xuyên,đau bụng,mệt mỏi,ra mồ hôi đêm,giảm cân không rõ lý do,hạch bạch huyết sưng,sốt,rùng mình,ngứa,
Bệnh Huntington,khó nói,chóng mặt,mất thăng bằng,trầm cảm,trí nhớ giảm sút,mất tập trung,thay đổi hành vi,,,
Sản giật,sưng tay chân,mất ý thức,đau bụng,mệt mỏi,khó thở,co giật,huyết áp cao,nôn mửa,thở nhanh,đau đầu
Ung thư bàng quang,đau lưng dưới,tiểu không hết,mệt mỏi,sút cân,buồn nôn,tiểu ra máu,đau khi tiểu,khó tiểu,,
Loãng xương,gãy xương dễ dàng,dáng cong,mỏi cơ,cứng khớp,đau cổ,giảm chiều cao,khó đi lại,đau lưng,yếu cơ,chuột rút
COVID-19,đau họng,nghẹt mũi,sốt,mất vị giác hoặc khứu giác,khó thở,khó thở,,,,
Sarcoidosis,phát ban,đau ngực,sút cân,đau khớp,đau bụng,khó thở,mệt mỏi,sốt,,
Xơ gan,mạch máu nổi rõ trên da,xuất huyết,buồn nôn,bụng sưng to,vàng da,giảm cơ,,,,
Virus Zika,sốt,đau cơ,sưng khớp,đau bụng,mệt mỏi,đau đầu,buồn nôn,phát ban,,
Cảm cúm,ho,đau họng,đau cơ,rùng mình,nôn,sổ mũi,mệt mỏi,sốt,nghẹt mũi,
Nhồi máu cơ tim,chóng mặt,chứng khó tiêu,đau cánh tay,mệt mỏi,ra mồ hôi,buồn nôn,đau dạ dày,đau ngực,đau hàm,
Xơ nang,tăng trưởng kém,nhiễm trùng xoang thường xuyên,da có vị mặn,khó tăng cân,ho ra đờm đặc,vấn đề tiêu hóa,khó thở,ho mãn tính,nhiễm trùng phổi thường xuyên,móng tay hoặc móng chân sưng
Ung thư vú,mệt mỏi,đau khi chạm vào vú,thay đổi kích thước hoặc hình dạng vú,sụt cân không rõ lý do,thay đổi màu sắc da quanh vú,khối u trong vú,cảm giác nặng nề,đau vú,sưng hạch bạch huyết ở nách,
Lo âu,khó ngủ,hồi hộp,run rẩy,đau ngực,mệt mỏi,đau đầu,,,,
Virus papilloma người (HPV),sưng nhẹ,đau khi quan hệ,mẩn đỏ,đau bụng,sút cân,mệt mỏi,ngứa,nốt sần,phát ban,mụn cóc sinh dục
Virus papilloma người (HPV),mụn cóc sinh dục,mẩn đỏ,sút cân,đau bụng,nốt sần,đau khi quan hệ,,,,
Sa sút trí tuệ,cảm giác lạc lõng,khó nhớ tên,mất khả năng hoàn thành công việc đơn giản,trầm cảm,khó khăn trong việc ra quyết định,cảm giác bị mất kiểm soát,mất trí nhớ,lúng túng trong giao tiếp,thay đổi tính cách,khó nhận diện người thân
Chlamydia,tiểu buốt,mệt mỏi,sốt,ra dịch âm đạo bất thường,vùng kín sưng,,,,,
Virus Zika,đau bụng,phát ban,mệt mỏi,sưng khớp,viêm kết mạc,đau khớp,buồn nôn,đau đầu,đau cơ,sốt
Rối loạn lưỡng cực,thay đổi đột ngột tâm trạng,nói nhiều,trầm cảm,suy nghĩ nhanh,mất ngủ,dễ nổi giận,,,,
Vô sinh,chậm kinh,vô cảm xúc,cảm giác trầm cảm,rối loạn kinh nguyệt,đau bụng,rối loạn nội tiết,đau khi quan hệ,sút cân,,
Virus Zika,mệt mỏi,sưng khớp,sốt,buồn nôn,đau bụng,đau cơ,đau khớp,phát ban,đau đầu,
Rối loạn ám ảnh cưỡng chế (OCD),lo ngại về sự không sạch sẽ,hoặc làm điều gì đó,mất thời gian vào suy nghĩ tiêu cực,không thể ngừng suy nghĩ về một điều gì đó,sợ hãi không kiểm soát được,cảm giác cần phải làm theo một cách cụ thể,khó kiểm soát cảm xúc,,,
Viêm tụy mạn tính,sụt cân,đau lưng,mỡ trong phân,buồn nôn,đau bụng dai dẳng,chán ăn,,,,
Bệnh Wilson,cứng cơ,vòng Kayser-Fleischer,mệt mỏi,đau bụng,mất thăng bằng,rối loạn vận động,run tay,,,
Bệnh phổi tắc nghẽn mãn tính (COPD),sút cân,mệt mỏi,khó thở,ho có đờm,khò khè,tiếng thở có âm thanh,thở nhanh,ho kéo dài,khó thở khi gắng sức,đau ngực
Sa sút trí tuệ,lúng túng trong giao tiếp,khó nhớ tên,cảm giác lạc lõng,mất khả năng hoàn thành công việc đơn giản,khó nhận diện người thân,khó khăn trong việc ra quyết định,,,,
Ung thư tụy,tiêu chảy,buồn nôn,giảm cân không rõ lý do,sốt,mệt mỏi,mất cảm giác thèm ăn,,,,
Thoát vị,khó thở,đau vùng bụng,cảm giác nặng nề,tăng áp lực bụng,sưng vùng bụng,đau khi ho hoặc căng thẳng,cảm giác căng tức,,,
Chấy,rối loạn tóc,ngứa da đầu,tóc rụng,lây lan sang người khác,cảm giác ngứa khi chải tóc,sử dụng lược chấy,viêm da đầu,cảm giác châm chích,gàu,
Rubella,chán ăn,đau đầu,đau họng,mệt mỏi,sốt,hạch bạch huyết sưng,,,,
Bệnh thận mãn tính,da khô hoặc ngứa,sưng chân,chuột rút cơ,buồn nôn,mệt mỏi,khó thở,tiểu không bình thường,huyết áp cao,chán ăn,nôn
Viêm phổi,mệt mỏi,buồn nôn,khó thở,rùng mình,ho,đau ngực,mơ hồ,môi hoặc ngón tay màu xanh,sốt,nôn
Suy giáp,khó chịu với lạnh,kinh nguyệt không đều,phù mặt,mệt mỏi,giọng khàn,chậm nhịp tim,tăng cân,trầm cảm,da khô,
Hội chứng ruột kích thích,mệt mỏi,đau khi đi vệ sinh,tiêu chảy,nước tiểu sẫm màu,buồn nôn,đau quặn thắt,táo bón,đau bụng,,
Bệnh Wilson,rối loạn vận động,vàng da,cứng cơ,mệt mỏi,run tay,giảm cân,khó nuốt,đau bụng,,
Uốn ván,ra mồ hôi,đau họng,sốt,khó nuốt,co giật,đau đầu,,,,
Bệnh lao,chán ăn,đau ngực,khó thở,hạch bạch huyết sưng,giảm cân,mệt mỏi,ra mồ hôi ban đêm,ho dai dẳng,,
Viêm gan,đau bụng,mệt mỏi,đau khớp,phân nhạt màu,vàng da,sốt,buồn nôn,chán ăn,đau cơ,
Bệnh máu khó đông,chảy máu răng,chảy máu mũi,sưng khớp,chảy máu bất thường,đau bụng,xuất huyết trong cơ,đau khớp,,,
Động kinh,mất trí nhớ tạm thời,chuyển động không kiểm soát,cắn lưỡi,run,chuột rút cơ,co giật,,,,
Thiếu sắt,chóng mặt,tim đập nhanh,rụng tóc,móng tay dễ gãy,khó tập trung,đau đầu,da nhợt nhạt,mệt mỏi,,
Rối loạn hoảng sợ,rối loạn nhịp tim,cảm giác tê liệt,đột ngột cảm giác sợ hãi,mệt mỏi,đau ngực,mồ hôi vã ra,cảm giác choáng váng,buồn nôn,,
Tiền sản giật,buồn nôn,mắt nhìn mờ,đau bụng trên,cao huyết áp,đau đầu,,,,,
COVID-19,đau cơ,sốt,mất vị giác hoặc khứu giác,khó thở,ho,nghẹt mũi,khó thở,mệt mỏi,,
Vô sinh,vô cảm xúc,đau bụng,rối loạn nội tiết,cảm giác trầm cảm,sút cân,tăng cân,rối loạn kinh nguyệt,đau khi quan hệ,chậm kinh,
Viêm não,chóng mặt,suy giảm nhận thức,buồn nôn,cứng cổ,co giật,nôn mửa,sốt cao,mệt mỏi,mất cân bằng,đau đầu
Động kinh,mơ hồ,cảm giác trước khi co giật,chuột rút cơ,mất trí nhớ tạm thời,run,mơ hồ sau cơn co giật,,,,
Vô sinh,sút cân,vô cảm xúc,cảm giác trầm cảm,khó thụ thai,đau bụng,rối loạn kinh nguyệt,rối loạn nội tiết,tăng cân,chậm kinh,đau khi quan hệ
Động kinh,chuột rút cơ,run,chuyển động không kiểm soát,co giật,mất ý thức,,,,,
Rối loạn phổ tự kỷ (ASD),không hiểu cảm xúc người khác,không thích sự thay đổi,vấn đề với tương tác xã hội,lặp lại hành động hoặc lời nói,thiếu khả năng diễn đạt cảm xúc,mất tập trung,,,,
Ung thư tụy,vàng da,mất cảm giác thèm ăn,tiêu chảy,giảm cân không rõ lý do,đau bụng,sốt,,,,
Hội chứng buồng trứng đa nang (PCOS),vấn đề về da,da dầu,rối loạn nội tiết,đau bụng,kinh nguyệt không đều,tăng cân,khó thụ thai,rối loạn tâm lý,mụn trứng cá,mọc nhiều lông
Bệnh cơ xơ hóa,đau khớp,đau cơ,suy giảm khả năng di chuyển,mệt mỏi,hạn chế tầm vận động,tăng huyết áp,ho khan,mất cân bằng điện giải,,
